Year,Genre,Owners
2022,RPG,271670000.0
2023,RPG,226060000.0
2024,RPG,383415000.0
2025,RPG,142760000.0
1997,Racing,150000.0
1998,Racing,0.0
1999,Racing,0.0
2000,Racing,0.0
2001,Racing,0.0
2002,Racing,0.0
2003,Racing,0.0
2004,Racing,0.0
2005,Racing,0.0
2006,Racing,1145000.0
2007,Racing,945000.0
2008,Racing,4915000.0
2009,Racing,550000.0
2010,Racing,995000.0
2011,Racing,1555000.0
2012,Racing,1340000.0
2013,Racing,8240000.0
2014,Racing,17625000.0
2015,Racing,33245000.0
2016,Racing,13560000.0
2017,Racing,27045000.0
2018,Racing,18090000.0
2019,Racing,19365000.0
2020,Racing,22720000.0
2021,Racing,39120000.0
2022,Racing,11895000.0
2023,Racing,11155000.0
2024,Racing,10805000.0
2025,Racing,18340000.0
1997,Sexual Content,0.0
1998,Sexual Content,0.0
1999,Sexual Content,0.0
2000,Sexual Content,0.0
2001,Sexual Content,0.0
2002,Sexual Content,0.0
2003,Sexual Content,0.0
2004,Sexual Content,0.0
2005,Sexual Content,0.0
2006,Sexual Content,0.0
2007,Sexual Content,0.0
2008,Sexual Content,0.0
2009,Sexual Content,0.0
2010,Sexual Content,0.0
2011,Sexual Content,0.0
2012,Sexual Content,0.0
2013,Sexual Content,0.0
2014,Sexual Content,0.0
2015,Sexual Content,0.0
2016,Sexual Content,345000.0
2017,Sexual Content,615000.0
2018,Sexual Content,555000.0
2019,Sexual Content,0.0
2020,Sexual Content,0.0
2021,Sexual Content,0.0
2022,Sexual Content,0.0
2023,Sexual Content,0.0
2024,Sexual Content,0.0
2025,Sexual Content,0.0
1997,Short,0.0
1998,Short,0.0
1999,Short,0.0
2000,Short,0.0
2001,Short,0.0
2002,Short,0.0
2003,Short,0.0
2004,Short,0.0
2005,Short,0.0
2006,Short,0.0
2007,Short,0.0
2008,Short,0.0
2009,Short,0.0
2010,Short,0.0
2011,Short,0.0
2012,Short,0.0
2013,Short,0.0
2014,Short,0.0
2015,Short,0.0
2016,Short,0.0
2017,Short,0.0
2018,Short,0.0
2019,Short,0.0
2020,Short,10000.0
